event_id,country,iso3,disaster_type,alert_level,severity,magnitude,population,start_date,end_date,latitude,longitude
1534757,China,CHN,EQ,Green,,4.5,,2026-04-11T04:38:04,2026-04-11T04:38:04,29.7492,104.9352
1534753,India,IND,EQ,Green,,4.5,,2026-04-11T03:15:24,2026-04-11T03:15:24,19.4406,77.2011
1534716,"Fox Islands, Aleutian Islands",,EQ,Green,,4.7,,2026-04-11T00:39:53,2026-04-11T00:39:53,52.0071,-171.6316
1028278,Laos,LAO,WF,Green,,5642.0,,2026-03-27T00:00:00,2026-04-11T00:00:00,18.48398360564471,102.32483585692344
1028274,Mongolia,MNG,WF,Green,,18812.0,,2026-04-10T00:00:00,2026-04-11T00:00:00,46.80303310085913,118.50794117668437
1028271,Myanmar,MMR,WF,Green,,6692.0,,2026-03-27T00:00:00,2026-04-11T00:00:00,19.204711051007457,97.77307444592606
1028270,Laos,LAO,WF,Green,,30029.0,,2026-03-27T00:00:00,2026-04-11T00:00:00,18.81408068110191,101.36830439301413
1028265,Thailand,THA,WF,Green,,12735.0,,2026-03-30T00:00:00,2026-04-11T00:00:00,16.542153906496377,101.76506535130046
1028264,Laos,LAO,WF,Green,,10126.0,,2026-03-30T00:00:00,2026-04-11T00:00:00,18.594128353363036,101.3871445077096
1028259,Thailand,THA,WF,Green,,6519.0,,2026-03-31T00:00:00,2026-04-11T00:00:00,19.25008227611982,98.392774097651
1028255,Laos,LAO,WF,Green,,5462.0,,2026-04-01T00:00:00,2026-04-11T00:00:00,20.16006346806061,102.50440450991783
